rpm,torque_N_m,efficiency
2399.44134078,14.0603514692,0.408250164168
2446.9273743,14.0603514692,0.40896879962
2494.41340782,14.0603514692,0.409591583144
2541.89944134,14.0603514692,0.410121800773
2589.38547486,14.0603514692,0.410562601858
2636.87150838,14.0603514692,0.410917008137
2684.3575419,14.0603514692,0.411187922036
2731.84357542,14.0603514692,0.411378134257
2779.32960894,14.0603514692,0.411490330735
2826.81564246,14.0603514692,0.411527099012
2874.30167598,14.0603514692,0.411490934093
2921.7877095,14.0603514692,0.411384243815
2969.27374302,14.0603514692,0.411209353794
3016.75977654,14.0603514692,0.410968511966
3064.24581006,14.0603514692,0.410663892777
3111.73184358,14.0603514692,0.410297601036
3159.21787709,14.0603514692,0.409871675479
3206.70391061,14.0603514692,0.409388092052
3254.18994413,14.0603514692,0.408848766945
3301.67597765,14.0603514692,0.408255559405
3349.16201117,14.0603514692,0.407610274334
3396.64804469,14.0603514692,0.406914664695
3444.13407821,14.0603514692,0.406170433752
3491.62011173,14.0603514692,0.40537923714
3539.10614525,14.0603514692,0.404542684799
3586.59217877,14.0603514692,0.403662342763
3634.07821229,14.0603514692,0.40273973484
3681.56424581,14.0603514692,0.401776344162
3729.05027933,14.0603514692,0.40077361465
3776.53631285,14.0603514692,0.399732952372
3824.02234637,14.0603514692,0.398655726819
3871.50837989,14.0603514692,0.3975432721
3918.99441341,14.0603514692,0.396396888066
3966.48044693,14.0603514692,0.395217841365
4013.96648045,14.0603514692,0.394007366438
4061.45251397,14.0603514692,0.392766666451
4108.93854749,14.0603514692,0.391496914188
4156.42458101,14.0603514692,0.390199252886
4203.91061453,14.0603514692,0.388874797029
4251.39664804,14.0603514692,0.387524633101
4298.88268156,14.0603514692,0.38614982031
4346.36871508,14.0603514692,0.384751391261
4393.8547486,14.0603514692,0.383330352619
4441.34078212,14.0603514692,0.381887685724
4488.82681564,14.0603514692,0.380424347192
4536.31284916,14.0603514692,0.378941269487
4583.79888268,14.0603514692,0.377439361472
4631.2849162,14.0603514692,0.375919508935
4678.77094972,14.0603514692,0.374382575103
4726.25698324,14.0603514692,0.372829401134
4773.74301676,14.0603514692,0.371260806591
4821.22905028,14.0603514692,0.369677589906
4868.7150838,14.0603514692,0.368080528827
4916.20111732,14.0603514692,0.366470380847
4963.68715084,14.0603514692,0.364847883637
5011.17318436,14.0603514692,0.363213755444
5058.65921788,14.0603514692,0.361568695503
5106.1452514,14.0603514692,0.35991338442
5153.63128492,14.0603514692,0.358248484555
5201.11731844,14.0603514692,0.356574640399
5248.60335196,14.0603514692,0.354892478934
5296.08938547,14.0603514692,0.353202609992
5343.57541899,14.0603514692,0.351505626606
5391.06145251,14.0603514692,0.349802105351
5438.54748603,14.0603514692,0.348092606684
5486.03351955,14.0603514692,0.346377675271
5533.51955307,14.0603514692,0.344657840314
5581.00558659,14.0603514692,0.342933615868
5628.49162011,14.0603514692,0.341205501159
5675.97765363,14.0603514692,0.339473980887
5723.46368715,14.0603514692,0.337739525532
5770.94972067,14.0603514692,0.336002591653
5818.43575419,14.0603514692,0.334263622181
5865.92178771,14.0603514692,0.332523046706
5913.40782123,14.0603514692,0.330781281765
5960.89385475,14.0603514692,0.329038731123
6008.37988827,14.0603514692,0.327295786043
6055.86592179,14.0603514692,0.325552825563
6103.35195531,14.0603514692,0.323810216763
6150.83798883,14.0603514692,0.322068315025
6198.32402235,14.0603514692,0.320327464297
6245.81005587,14.0603514692,0.318587997344
6293.29608939,14.0603514692,0.316850236002
6340.78212291,14.0603514692,0.315114491427
6388.26815642,14.0603514692,0.313381064333
6435.75418994,14.0603514692,0.311650245238
6483.24022346,14.0603514692,0.309922314697
6530.72625698,14.0603514692,0.308197543535
6578.2122905,14.0603514692,0.306476193074
6625.69832402,14.0603514692,0.30475851536
6673.18435754,14.0603514692,0.303044753384
6720.67039106,14.0603514692,0.301335141296
6768.15642458,14.0603514692,0.299629904624
6815.6424581,14.0603514692,0.297929260482
6863.12849162,14.0603514692,0.296233417773
6910.61452514,14.0603514692,0.294542577397
6958.10055866,14.0603514692,0.29285693245
7005.58659218,14.0603514692,0.291176668417
7053.0726257,14.0603514692,0.289501963366
7100.55865922,14.0603514692,0.287832988137
7148.04469274,14.0603514692,0.286169906528
7195.53072626,14.0603514692,0.284512875475
7243.01675978,14.0603514692,0.282862045234
7290.5027933,14.0603514692,0.281217559554
7337.98882682,14.0603514692,0.279579555848
7385.47486034,14.0603514692,0.277948165364
7432.96089385,14.0603514692,0.276323513348
7480.44692737,14.0603514692,0.27470571921
7527.93296089,14.0603514692,0.273094896677
7575.41899441,14.0603514692,0.271491153955
7622.90502793,14.0603514692,0.269894593874
7670.39106145,14.0603514692,0.268305314045
7717.87709497,14.0603514692,0.266723407003
